SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,Year-年
CJFD2015,大数据全生命周期中关键问题研究及应用,刘道新;胡航海;张健;徐秀敏;,华北电力大学经济与管理学院;国家电网公司;北京中电普华信息技术有限公司;,中国电机工程学报,大数据;;压缩存储;;缓存机制;;动态配置;;统一数据资源库,"随着大数据时代的到来,大数据全生命周期中获取、存储、处理、挖掘等方面的研究逐步展开,成为行业、政府的研究热点。该文以国内外电力行业、金融、经济等数据为研究对象,对大数据的存储、处理、挖掘三大关键问题进行研究。根据大数据特点进行分类;建立基于改进稀疏矩阵、指标维度和指标数据分离方式的大数据压缩存储模型,实现大数据的压缩存储和动态扩展。提出按照指标分类及关联关系建立数据缓存模型的方法,实现大数据的高效访问和灵活转换。在挖掘展现时应用动态可配置的设计方法,解决数据查询海量页面的动态生成问题。该文可为大数据存储、处理、挖掘研究提供有价值的参考,并将研究成果应用到统一资源库的建设中。",2014/9/2 10:00,2015
CJFD2015,基于关联规则映射的生物信息网络多维数据挖掘算法,唐晓东;,华南师范大学经济与管理学院;,计算机应用研究,数据挖掘;;关联规则映射;;生物信息网络;;多维数据挖掘,"针对在生物信息网络中对复杂和大规模的数据集进行挖掘时所出现的算法挖掘精度低、运行速度慢、内存占用大等问题,提出一种基于关联规则映射的生物信息网络多维数据挖掘算法。该算法结合网络数据集之间的关联映射关系,从而确定网络数据集的关联规则,并引入挖掘因子和相对误差来提高算法的挖掘精度;根据多维子空间中数据集之间的关联程度进行子空间区分以及子空间内数据集区分,从而实现对不同数据集的有效挖掘。在实验中,对不同数据集数量下的算法内存占用情况、算法挖掘精度、算法运行时间进行仿真,从实验结果可以看出基于关联规则映射的挖掘算法可以有效地提高挖掘精度,在减少内存占用和提升计算速度上也具有一定的优势。",2014/12/29 9:11,2015
CJFD2009,关联规则挖掘Apriori算法的研究与改进,刘华婷;郭仁祥;姜浩;,东南大学计算机科学与工程学院;,计算机应用与软件,数据挖掘;;关联规则;;频繁项集;;Apriori算法,"关联规则挖掘是数据挖掘研究领域中的一个重要任务,旨在挖掘事务数据库中有趣的关联。Apriori算法是关联规则挖掘中的经典算法。然而Apriori算法存在着产生候选项目集效率低和频繁扫描数据等缺点。对Apriori算法的原理及效率进行分析,指出了一些不足,并且提出了改进的Apriori_LB算法。该算法基于新的数据结构,改进了产生候选项集的连接方法。在详细阐述了Apriori_LB算法后,对Apriori算法和Apriori_LB算法进行了分析和比较,实验结果表明改进的Apriori_LB算法优于Apriori算法,特别是对最小支持度较小或者项数较少的事务数据库进行挖掘时,效果更加显著。",2009/1/15,2009
CJFD2009,数据挖掘中决策树分类算法的研究与改进,但小容;陈轩恕;刘飞;柳德伟;,国网电力科学研究院;,软件导刊,数据挖掘;;决策树;;ID3算法;;改进;;加权简化信息熵,"决策树分类算法是数据挖掘中一个重要的内容,而ID3算法又是决策树分类算法中的一种重要方法且被广泛应用。然而在实际应用过程中,现存的决策树算法也存在着很多不足之处,如计算效率低下、多值偏向等。为了解决这些问题,提出了一种基于ID3算法的加权简化信息熵算法,它提高了决策树的构建速度,减少了算法的计算运行时间,同时也克服了ID3算法往往偏向于选择取值较多的属性作为测试属性的缺陷。并且随着数据规模的增大,决策树的分类性能表现得越好。",2009/2/28,2009
CJFD2009,基于数据挖掘技术的客户关系管理系统设计与实现,胡欣如;,广东工业大学计算机学院;,微计算机信息,客户关系管理;;数据挖掘;;数据库,"本文以某汽车销售服务有限公司为背景,设计了汽车销售客户关系管理系统。在该系统中,依据数据挖掘思想实现了对现有数据的分析、处理,并对客户行为特征进行分析,为管理者提供决策信息,是数据挖掘技术在客户关系管理领域实用化的有益尝试。",2009/4/25,2009
CJFD2009,数据挖掘技术在高校学生就业指导中的应用,金延军;,黑龙江工程学院电子工程系;,黑龙江工程学院学报(自然科学版),数据挖掘;;关联规则;;Apriori算法;;就业,"随着高校毕业生人数的增加和管理信息系统的应用,产生并积累大量复杂的就业信息数据,传统的统计分析方法已不适应深入分析的需求。应用数据挖掘技术中的Apriori算法,以高校就业历史数据为研究对象,以学生就业指导为研究目的,通过对高校就业数据的挖掘找到影响学生就业的内在因素,发现学生的受教育属性和就业属性之间的关联性,得出社会需要的应用型人才模型,从而给高校决策者提供指导或数据支持,改进现有的教育模式,提高对毕业生就业指导的实效性。",2009/3/25,2009
CDFD2015,基于概率主题模型的情境建模方法研究,怀宝兴,,中国科学技术大学,情境建模;;情境识别;;概率主题模型;;命名实体链接,"随着IT产业尤其是互联网的蓬勃发展,人类社会逐渐进入了大数据时代,我们每天都可以通过多种渠道接触到海量的信息。如何从信息的海洋中获取知识逐渐变得非常困难,为了应对这种信息过载的问题,数据挖掘技术应运而生。然而,传统数据挖掘方法的解空间通常较大,其挖掘结果仍然难以满足用户需求。幸运的是,移动互联网的崛起和智能移动设备的应用普及,使得与用户的行为和周边环境相关的情境数据被大规模的记录、收集并逐年积累。通过对实体(用户以及与其有交互关系的实物如商品、文本等)进行情境感知的建模,挖掘出实体在不同情境下的特性以及模式的情境数据挖掘,成为解决传统数据挖掘方法解空间过大问题的有效途径,具有重要的研究价值和应...",2014/10/1,2014
CMFD2014,基于聚类分析的可视化技术及其应用研究,蔡朱华,,厦门大学,可视化技术;;可视化数据挖掘;;聚类分析,"随着科技的进步特别是整个信息产业的快速发展,我们的社会进入了一个崭新的信息时代。不仅数据采集能力和手段越来越多样化,存储设备技术也迅猛发展,数据采集与存储设备的不断发展带来了大数据的时代。面对大量且繁杂的数据信息,如何从中提取出有价值且便于用户观察的信息是最迫切而重要的问题。显然要解决上述的问题,仅仅采用数据挖掘容易造成得到的信息不易被理解或不一定正确的问题,因而本文研究可视化数据挖掘技术,将数据挖掘和数据可视化技术结合在一起,相辅相成。 目前可视化技术与数据挖掘算法的联系是较松散,针对这一现象,本文主要研究内容是如何将数据挖掘算法与可视化技术更好地更高效地融合,并以聚类分析算法为切入点...",2014/5/1,2014
CMFD2014,应用数据挖掘技术对吕仁和教授慢性肾炎肾络癥瘕证数据资料的探索性研究,焦云涛,,北京中医药大学,数据挖掘;;慢性肾炎;;肾络瘕瘕;;关联规则;;经验传承,"背景：慢性肾小球肾炎是导致终末期肾病原因之一,中医药在该病治疗中有强大的生命力,尤其是在慢性肾炎的早中期显示出明显优势,因此对中医药治疗慢性肾炎的研究具有意义。在当今这个信息时代,数据挖掘等计算机技术在临床数据资料探索中发挥一定的作用,有利于名老中医经验的传承工作。 目的：应用数据挖掘技术对吕仁和教授慢性肾炎肾络癥瘕证数据资料进行探索性研究,归纳慢性肾炎各期特点及症状、证型、实验室指标等的内在关系,总结吕仁和教授肾络癥瘕证独特的学术思想,验证数据挖掘技术在名老中医经验传承方面应用的可行性。 对象方法：收集2009年5月至2013年10月我院肾病内分泌科门诊及病房294例慢性肾炎患者...",2014/5/1,2014
cjfd2007,基于数据流的移动数据挖掘研究综述,邓维维;彭宏;郑启伦;,华南理工大学计算机科学与工程学院;华南理工大学计算机科学与工程学院;华南理工大学计算机科学与工程学院 广东广州510641;广东广州510641;广东广州510641,计算机应用研究,移动数据挖掘;;数据挖掘;;数据流;;普适计算,"无线网络和移动设备的应用为我们带来巨大的便利,可以随时随地获得信息,同时它也引发了对高效数据流分析工具的需求。移动数据挖掘是在普适环境下的数据流挖掘,从连续的数据流中发现知识。讨论了数据流、数据流管理系统和移动数据挖掘以及它们的特点,介绍了该领域的一些研究成果,突出了面临的挑战和一些相应的策略,并对这些策略进行了比较,最后展望了这一领域的研究前景。",2007/1/1,2007
